Date,Open,High,Low,Close,Adj Close,Volume
2020-01-07,180.481293,180.481293,180.481293,180.481293,180.481293,0
2020-01-08,181.273697,181.273697,181.273697,181.273697,181.273697,0
2020-01-09,184.503296,184.503296,184.503296,184.503296,184.503296,0
2020-01-10,185.003098,185.003098,185.003098,185.003098,185.003098,0
2020-01-13,186.343597,186.343597,186.343597,186.343597,186.343597,0
2020-01-14,185.313202,185.313202,185.313202,185.313202,185.313202,0
2020-01-15,185.045700,185.045700,185.045700,185.045700,185.045700,0
2020-01-16,185.652206,185.652206,185.652206,185.652206,185.652206,0
2020-01-17,187.443604,187.443604,187.443604,187.443604,187.443604,0
2020-01-20,187.464096,187.464096,187.464096,187.464096,187.464096,0
2020-01-21,184.138306,184.138306,184.138306,184.138306,184.138306,0
2020-01-22,185.593201,185.593201,185.593201,185.593201,185.593201,0
2020-01-23,184.173492,184.173492,184.173492,184.173492,184.173492,0
2020-01-24,184.058899,184.058899,184.058899,184.058899,184.058899,0
2020-01-27,181.516205,181.516205,181.516205,181.516205,181.516205,0
2020-01-28,181.549301,181.549301,181.549301,181.549301,181.549301,0
2020-01-29,180.895203,180.895203,180.895203,180.895203,180.895203,0
2020-01-30,176.219604,176.219604,176.219604,176.219604,176.219604,0
2020-01-31,173.785599,173.785599,173.785599,173.785599,173.785599,0
2020-02-03,173.864502,173.864502,173.864502,173.864502,173.864502,0
2020-02-04,178.287003,178.287003,178.287003,178.287003,178.287003,0
2020-02-05,179.518097,179.518097,179.518097,179.518097,179.518097,0
2020-02-06,182.014694,182.014694,182.014694,182.014694,182.014694,0
2020-02-07,180.432297,180.432297,180.432297,180.432297,180.432297,0
2020-02-10,180.399307,180.399307,180.399307,180.399307,180.399307,0
2020-02-11,182.614899,182.614899,182.614899,182.614899,182.614899,0
2020-02-12,184.657394,184.657394,184.657394,184.657394,184.657394,0
2020-02-13,184.800797,184.800797,184.800797,184.800797,184.800797,0
2020-02-14,184.903397,184.903397,184.903397,184.903397,184.903397,0
2020-02-17,185.466400,185.466400,185.466400,185.466400,185.466400,0
2020-02-18,183.567200,183.567200,183.567200,183.567200,183.567200,0
2020-02-19,185.705307,185.705307,185.705307,185.705307,185.705307,0
2020-02-20,183.789398,183.789398,183.789398,183.789398,183.789398,0
2020-02-21,181.173294,181.173294,181.173294,181.173294,181.173294,0
2020-02-24,176.212402,176.212402,176.212402,176.212402,176.212402,0
2020-02-25,176.297302,176.297302,176.297302,176.297302,176.297302,0
2020-02-26,174.137802,174.137802,174.137802,174.137802,174.137802,0
2020-02-27,170.112900,170.112900,170.112900,170.112900,170.112900,0
2020-02-28,166.187500,166.187500,166.187500,166.187500,166.187500,0
2020-03-02,165.948105,165.948105,165.948105,165.948105,165.948105,0
2020-03-03,166.960907,166.960907,166.960907,166.960907,166.960907,0
2020-03-04,169.140503,169.140503,169.140503,169.140503,169.140503,0
2020-03-05,168.531403,168.531403,168.531403,168.531403,168.531403,0
2020-03-06,162.386795,162.386795,162.386795,162.386795,162.386795,0
2020-03-09,150.667297,150.667297,150.667297,150.667297,150.667297,0
2020-03-10,154.440308,154.440308,154.440308,154.440308,154.440308,0
2020-03-11,152.401306,152.401306,152.401306,152.401306,152.401306,0
2020-03-12,144.587997,144.587997,144.587997,144.587997,144.587997,0
2020-03-13,146.387207,146.387207,146.387207,146.387207,146.387207,0
2020-03-16,135.649002,135.649002,135.649002,135.649002,135.649002,0
2020-03-17,136.957397,136.957397,136.957397,136.957397,136.957397,0
2020-03-18,132.065201,132.065201,132.065201,132.065201,132.065201,0
2020-03-19,130.213394,130.213394,130.213394,130.213394,130.213394,0
2020-03-20,136.437393,136.437393,136.437393,136.437393,136.437393,0
2020-03-23,128.119400,128.119400,128.119400,128.119400,128.119400,0
2020-03-24,135.110992,135.110992,135.110992,135.110992,135.110992,0
2020-03-25,140.384506,140.384506,140.384506,140.384506,140.384506,0
2020-03-26,140.554596,140.554596,140.554596,140.554596,140.554596,0
2020-03-27,138.538406,138.538406,138.538406,138.538406,138.538406,0
2020-03-30,137.318497,137.318497,137.318497,137.318497,137.318497,0
2020-03-31,140.687607,140.687607,140.687607,140.687607,140.687607,0
2020-04-01,137.787796,137.787796,137.787796,137.787796,137.787796,0
2020-04-02,140.516403,140.516403,140.516403,140.516403,140.516403,0
2020-04-03,140.181000,140.181000,140.181000,140.181000,140.181000,0
2020-04-06,144.227097,144.227097,144.227097,144.227097,144.227097,0
2020-04-07,146.864197,146.864197,146.864197,146.864197,146.864197,0
2020-04-08,146.466705,146.466705,146.466705,146.466705,146.466705,0
2020-04-09,147.704300,147.704300,147.704300,147.704300,147.704300,0
2020-04-14,148.815002,148.815002,148.815002,148.815002,148.815002,0
2020-04-15,147.842896,147.842896,147.842896,147.842896,147.842896,0
2020-04-16,148.560806,148.560806,148.560806,148.560806,148.560806,0
2020-04-17,150.785599,150.785599,150.785599,150.785599,150.785599,0
2020-04-20,150.510803,150.510803,150.510803,150.510803,150.510803,0
2020-04-21,147.244202,147.244202,147.244202,147.244202,147.244202,0
2020-04-22,149.522400,149.522400,149.522400,149.522400,149.522400,0
2020-04-23,150.015793,150.015793,150.015793,150.015793,150.015793,0
2020-04-24,148.207199,148.207199,148.207199,148.207199,148.207199,0
2020-04-27,150.480194,150.480194,150.480194,150.480194,150.480194,0
2020-04-28,151.851303,151.851303,151.851303,151.851303,151.851303,0
2020-04-29,154.394501,154.394501,154.394501,154.394501,154.394501,0
2020-04-30,153.824905,153.824905,153.824905,153.824905,153.824905,0
2020-05-04,148.218994,148.218994,148.218994,148.218994,148.218994,0
2020-05-05,150.563202,150.563202,150.563202,150.563202,150.563202,0
2020-05-06,151.653305,151.653305,151.653305,151.653305,151.653305,0
2020-05-07,151.666397,151.666397,151.666397,151.666397,151.666397,0
2020-05-08,152.839005,152.839005,152.839005,152.839005,152.839005,0
2020-05-11,154.214905,154.214905,154.214905,154.214905,154.214905,0
2020-05-12,151.938599,151.938599,151.938599,151.938599,151.938599,0
2020-05-13,152.904099,152.904099,152.904099,152.904099,152.904099,0
2020-05-14,151.891205,151.891205,151.891205,151.891205,151.891205,0
2020-05-15,151.878204,151.878204,151.878204,151.878204,151.878204,0
2020-05-18,153.278595,153.278595,153.278595,153.278595,153.278595,0
2020-05-19,154.132401,154.132401,154.132401,154.132401,154.132401,0
2020-05-20,154.553604,154.553604,154.553604,154.553604,154.553604,0
2020-05-21,155.000702,155.000702,155.000702,155.000702,155.000702,0
2020-05-22,151.611496,151.611496,151.611496,151.611496,151.611496,0
2020-05-25,152.656494,152.656494,152.656494,152.656494,152.656494,0
2020-05-26,153.951202,153.951202,153.951202,153.951202,153.951202,0
2020-05-27,154.232300,154.232300,154.232300,154.232300,154.232300,0
2020-05-28,152.747803,152.747803,152.747803,152.747803,152.747803,0
2020-05-29,152.674606,152.674606,152.674606,152.674606,152.674606,0
2020-06-02,158.073593,158.073593,158.073593,158.073593,158.073593,0
2020-06-03,160.419098,160.419098,160.419098,160.419098,160.419098,0
2020-06-04,159.324997,159.324997,159.324997,159.324997,159.324997,0
2020-06-05,162.024307,162.024307,162.024307,162.024307,162.024307,0
2020-06-08,162.963394,162.963394,162.963394,162.963394,162.963394,0
2020-06-09,162.501404,162.501404,162.501404,162.501404,162.501404,0
2020-06-10,163.078705,163.078705,163.078705,163.078705,163.078705,0
2020-06-11,159.600296,159.600296,159.600296,159.600296,159.600296,0
2020-06-12,160.455200,160.455200,160.455200,160.455200,160.455200,0
2020-06-15,156.727203,156.727203,156.727203,156.727203,156.727203,0
2020-06-16,161.067001,161.067001,161.067001,161.067001,161.067001,0
2020-06-17,162.080597,162.080597,162.080597,162.080597,162.080597,0
2020-06-18,162.300705,162.300705,162.300705,162.300705,162.300705,0
2020-06-19,163.849106,163.849106,163.849106,163.849106,163.849106,0
2020-06-22,162.808395,162.808395,162.808395,162.808395,162.808395,0
2020-06-23,163.930298,163.930298,163.930298,163.930298,163.930298,0
2020-06-24,164.163696,164.163696,164.163696,164.163696,164.163696,0
2020-06-25,164.037399,164.037399,164.037399,164.037399,164.037399,0
2020-06-26,163.311707,163.311707,163.311707,163.311707,163.311707,0
2020-06-29,161.940994,161.940994,161.940994,161.940994,161.940994,0
2020-06-30,162.378296,162.378296,162.378296,162.378296,162.378296,0
2020-07-01,162.961502,162.961502,162.961502,162.961502,162.961502,0
2020-07-02,167.305603,167.305603,167.305603,167.305603,167.305603,0
2020-07-03,168.863205,168.863205,168.863205,168.863205,168.863205,0
2020-07-06,172.037201,172.037201,172.037201,172.037201,172.037201,0
2020-07-07,171.301498,171.301498,171.301498,171.301498,171.301498,0
2020-07-08,173.520294,173.520294,173.520294,173.520294,173.520294,0
2020-07-09,175.693802,175.693802,175.693802,175.693802,175.693802,0
2020-07-10,173.597504,173.597504,173.597504,173.597504,173.597504,0
2020-07-13,173.218307,173.218307,173.218307,173.218307,173.218307,0
2020-07-14,170.839294,170.839294,170.839294,170.839294,170.839294,0
2020-07-15,171.748093,171.748093,171.748093,171.748093,171.748093,0
2020-07-16,168.310501,168.310501,168.310501,168.310501,168.310501,0
2020-07-17,169.944901,169.944901,169.944901,169.944901,169.944901,0
2020-07-20,171.170395,171.170395,171.170395,171.170395,171.170395,0
2020-07-21,173.848694,173.848694,173.848694,173.848694,173.848694,0
2020-07-22,170.991898,170.991898,170.991898,170.991898,170.991898,0
2020-07-23,171.016602,171.016602,171.016602,171.016602,171.016602,0
2020-07-24,167.838593,167.838593,167.838593,167.838593,167.838593,0
2020-07-27,167.636703,167.636703,167.636703,167.636703,167.636703,0
2020-07-28,169.720596,169.720596,169.720596,169.720596,169.720596,0
2020-07-29,169.793793,169.793793,169.793793,169.793793,169.793793,0
2020-07-30,168.805801,168.805801,168.805801,168.805801,168.805801,0
2020-07-31,167.916901,167.916901,167.916901,167.916901,167.916901,0
2020-08-03,168.989395,168.989395,168.989395,168.989395,168.989395,0
2020-08-04,170.591797,170.591797,170.591797,170.591797,170.591797,0
2020-08-05,170.852798,170.852798,170.852798,170.852798,170.852798,0
2020-08-06,171.980804,171.980804,171.980804,171.980804,171.980804,0
2020-08-07,170.062607,170.062607,170.062607,170.062607,170.062607,0
2020-08-10,169.944000,169.944000,169.944000,169.944000,169.944000,0
2020-08-11,170.698807,170.698807,170.698807,170.698807,170.698807,0
2020-08-12,170.597397,170.597397,170.597397,170.597397,170.597397,0
2020-08-13,170.498093,170.498093,170.498093,170.498093,170.498093,0
2020-08-14,170.146500,170.146500,170.146500,170.146500,170.146500,0
2020-08-17,170.682800,170.682800,170.682800,170.682800,170.682800,0
2020-08-18,170.685196,170.685196,170.685196,170.685196,170.685196,0
2020-08-19,170.102203,170.102203,170.102203,170.102203,170.102203,0
2020-08-20,168.034393,168.034393,168.034393,168.034393,168.034393,0
2020-08-21,170.696503,170.696503,170.696503,170.696503,170.696503,0
2020-08-24,172.741592,172.741592,172.741592,172.741592,172.741592,0
2020-08-25,173.617004,173.617004,173.617004,173.617004,173.617004,0
2020-08-26,174.427795,174.427795,174.427795,174.427795,174.427795,0
2020-08-27,174.526093,174.526093,174.526093,174.526093,174.526093,0
2020-08-28,173.619293,173.619293,173.619293,173.619293,173.619293,0
